Device,State,Status
accs-ev-300m2-1,2,up
accs-sh-315av-1,2,up
accs-sheraton-fl5,2,up
accs-wh-214-1,2,up
accs-stw-021-1,2,up
accs-se-312-1,2,up
accs-invw-513-1,2,up
accs-cb-166-1,2,up
accs-sl-230-2,2,up
accs-cf-1,2,up
accs-invw-1113-1,2,up
accs-bk-017a-1,2,up
accs-ri-218-1,2,up
accs-ha-005-1,2,up
accs-ise-675a-2,2,up
accs-ws-1500-2,1,down
accs-hf-bsmt-1,2,up
accs-ws-1100-2,1,down
accs-sl-320-1,2,up
accs-wvf-044-1,2,up
accs-ry-146-1,2,up
accs-ru-013-1,2,up
accs-sea-100-1,2,up
accs-bk-442-1,2,up
accs-101bv-318-1,2,up
accs-122ss-010-1,2,up
accs-da-229-1,2,up
accs-md-mdf-1,2,up
accs-ev-102c-1,2,up
accs-ec-220-1,2,up
accs-ise-536-1,2,up
accs-sc-400-1,2,up
accs-li-010-1,2,up
accs-mgt-mr-c12-r2r3-1,2,up
accs-wvh-206-1,2,up
accs-sheraton-fl7,2,up
accs-wvb-100-2,2,up
accs-sheraton-fl10,2,up
accs-bk-542-1,2,up
accs-ws-1800-2,1,down
accs-ma-125-1,2,up
accs-177hu-211-1,2,up
accs-mh-128-1,2,up
accs-101bv-218-1,2,up
accs-msc-trailer1-1,2,up
accs-wi-500-1,2,up
accs-rp-300-1,2,up
accs-mc-152-1,2,up
accs-ho-113-1,2,up
accs-la-052-1,2,up
accs-da-134a-1,2,up
accs-sn-312-1,2,up
accs-101bv-175-1,2,up
accs-sl-268-1,2,up
accs-spe-100m6-1,2,up
accs-la-453-1,2,up
accs-ise-106-1,2,up
accs-fr-005-1,2,up
accs-ws-2600-2,1,down
accs-hs-744-1,2,up
accs-cp-349-1,2,up
accs-stecdf-mgt-1,2,up
accs-ws-1000-2,1,down
accs-ise-003-2,2,up
accs-bl-elliot-123-1,2,up
accs-rp-119-2,2,up
accs-dg-165-1,2,up
accs-sheraton-fl22,2,up
accs-ws-500-1,1,down
accs-sheraton-fl23,2,up
accs-ws-1900-2,1,down
accs-spw-200m5-1,2,up
accs-sh-305av-1,2,up
accs-wvan-110-1,2,up
accs-216mav-213b-1,2,up
accs-da-434-2,2,up
accs-wvf-400-1,2,up
accs-216mav-307b-1,2,up
accs-kn-326-1,2,up
accs-sheraton-fl18,2,up
accs-sw-200-1,2,up
accs-216mav-338c-1,2,up
accs-sh-425av-1,2,up
accs-ry-341-1,2,up
accs-clt-1111av-1,2,up
accs-sh-243-1,2,up
accs-ws-1400-1,1,down
accs-dk-204-2,2,up
accs-mu-219b-1,2,up
accs-ev-1714-1,2,up
accs-fr-206-1,2,up
accs-177hu-1213-1,2,up
accs-ws-2200-2,1,down
accs-ws-300-2,1,down
accs-bd-266-1,2,up
accs-ch-327a-2,2,up
accs-inve-878-1,2,up
accs-tf-265b-1,2,up
accs-mt-aamarp-1,2,up
accs-invw-2000-1,2,up
accs-ss-006d1-1,2,up
accs-dg-433-1,2,up
accs-wvf-170a-1,2,up
accs-se-cdf-1,2,up
accs-ise-575a-1,2,up
accs-slcdf-mgt-1,2,up
accs-ws-2300-1,1,down
accs-ise-145-1,2,up
accs-bl-147-205-1,2,up
accs-177hu-1015-2,2,up
accs-ri-118a-3,2,up
accs-ws-2500-2,1,down
accs-invw-313-1,2,up
accs-roux-123-1,2,up
accs-ws-stga-1,1,down
accs-319hu-000-1,2,up
accs-177hu-1015-1,2,up
accs-ha-011-3,2,up
accs-ws-2100-2,1,down
accs-london-idf-c-1,2,up
accs-rp-400-1,2,up
accs-wve-500m4-1,2,up
accs-de-221-1,2,up
accs-101bv-475-1,2,up
accs-sn-412-1,2,up
accs-ricdf-mgt-1,2,up
accs-ht-126-1,2,up
accs-ws-1700-2,1,down
accs-bl-vcc-130b-1,2,up
accs-ise-275a-1,2,up
accs-ho-113-2,2,up
accs-wvc-112-2,2,up
accs-fenway-1,2,up
accs-780cp-1,2,up
accs-cf-2,2,up
accs-sc-300-1,2,up
accs-109hm-001-1,2,up
accs-invc-031-1,2,up
accs-sn-280-1,2,up
accs-inve-478-1,2,up
accs-msc-pumphouse-1,2,up
accs-hs-200a-1,2,up
accs-sl-230-1,2,up
accs-spw-100m5-1,2,up
accs-dvb-115-1,2,up
accs-ev-300m2-2,2,up
accs-bl-library-007-1,2,up
accs-dvb-515-1,2,up
accs-sm-100d3-1,2,up
accs-bk-342-1,2,up
accs-sheraton-fl28,2,up
accs-invo-402-1,2,up
accs-sheraton-fl12,2,up
accs-invw-1613-1,2,up
accs-nicdf-mgt-1,2,up
accs-236hu-529-1,2,up
accs-bk-642-1,2,up
accs-157he-021-1,2,up
accs-csc-438-1,2,up
accs-se-412-1,2,up
accs-sheraton-fl13,2,up
accs-sh-415av-1,2,up
accs-da-229-2,2,up
accs-ise-675a-1,2,up
accs-mgh-poda-r3c11-1,1,down
accs-ec-220-2,2,up
accs-sea-115-1,2,up
accs-wve-800m4-1,2,up
accs-ry-146-2,2,up
accs-wh-245-1,2,up
accs-cf-es-1,2,up
accs-ise-063-2,2,up
accs-cp-549-1,2,up
accs-fr-206-2,2,up
accs-cp-600-1,2,up
accs-177hu-307av-1,2,up
accs-sh-420av-1,1,down
accs-sw-100-1,2,up
accs-300mav-000-1,2,up
accs-dk-204-1,2,up
accs-sh-135av-1,2,up
accs-ise-236-1,2,up
accs-msc-trailer2-1,2,up
accs-sjc-1008-1,2,up
accs-ws-300-1,1,down
accs-177hu-2214-1,2,up
accs-bl-dc-1,2,up
accs-bd-266-2,2,up
accs-cb-207-1,2,up
accs-tf-173a-1,2,up
accs-ws-1600-2,1,down
accs-spe-200m6-1,2,up
accs-ss-011-1,2,up
accs-cv-514-1,2,up
accs-ws-2000-2,1,down
accs-sheraton-fl20,2,up
accs-ri-118a-2,2,up
accs-ise-336-2,2,up
accs-bl-147-105-1,2,up
accs-mt-office-1,2,up
accs-tf-x411-1,2,up
accs-bk-742-1,2,up
accs-tf-r312-1,2,up
accs-mgh-podc-r3c13-1,1,down
accs-ise-636-1,2,up
accs-rpg-001-1,2,up
accs-wvan-900-1,2,up
accs-ri-44-test-4,2,up
accs-sea-225-1,2,up
accs-216mav-100tr-1,2,up
accs-cp-84-1,2,up
accs-ws-500-2,1,down
accs-ev-1500m2-2,2,up
accs-ws-1300-1,1,down
accs-rp-119-1,2,up
accs-tf-133-1,2,up
accs-cb-cage-2,2,up
accs-sh-325av-1,2,up
accs-ws-2400-1,1,down
accs-337hu-000-1,2,up
accs-da-434-1,2,up
accs-cp-449-1,2,up
accs-ma-050-1,2,up
accs-ht-329-1,2,up
accs-ws-1200-2,1,down
accs-ho-414-1,2,up
accs-sheraton-fl8,2,up
accs-dva-300-1,2,up
accs-ry-341-2,2,up
accs-sheraton-fl29,2,up
accs-rp-160h2-1,2,up
accs-ma-091-1,2,up
accs-ri-44-test-1,2,up
accs-177hu-411-1,2,up
accs-mgh-podc-r3c5-1,1,down
accs-wh-231-1,2,up
accs-407hu-1,2,up
accs-ev-012a-1,2,up
accs-sheraton-fl9,2,up
accs-invo-208av-1,2,up
accs-csc-238-1,2,up
accs-177hu-813-1,2,up
accs-ws-essex-1,1,down
accs-wvb-100-1,2,up
accs-kn-138-1,2,up
accs-ws-1800-1,1,down
accs-177hu-611-1,2,up
accs-st-121-1,2,up
accs-cf-6,2,up
accs-sc-200-1,2,up
accs-me-436a-1,2,up
accs-cf-3,2,up
accs-ri-451-1,2,up
accs-mgh-mda-r6c25-1,1,down
accs-mc-166-1,2,up
accs-gg-001-1,2,up
accs-se-112-1,2,up
accs-wvas-300-1,2,up
accs-da-134a-2,2,up
accs-sh-210av-1,2,up
accs-101bv-418-1,2,up
accs-ma-300-1,2,up
accs-invw-813-1,2,up
accs-hbh-109-1,2,up
accs-cg-085-1,2,up
accs-ise-106-2,2,up
accs-ni-424-1,2,up
accs-wvh-304-1,2,up
accs-bl-kostas-292-1,2,up
accs-20RI-test-1,2,up
accs-da-242-1,2,up
accs-dva-100-1,2,up
accs-20RI-EIP-VLAN-Test,1,down
accs-ka-003-1,2,up
accs-mgh-poda-r3c12-1,1,down
accs-lc-221-1,2,up
accs-dva-500-1,2,up
accs-mu-100m7-2,2,up
accs-spe-100m6-2,2,up
accs-mgt-ri-37-r5r0-1,2,up
accs-ise-475a-1,2,up
accs-london-idf-a-1,2,up
accs-bk-242-1,2,up
accs-sn-112-1,2,up
accs-sheraton-fl25,2,up
accs-csc-anc-1,2,up
accs-sheraton-fl21,2,up
accs-ec-420-1,2,up
accs-ws-1500-1,1,down
accs-dk-204-3,2,up
accs-ws-1100-1,1,down
accs-inve-1978-1,2,up
accs-rb-208-2,2,up
accs-bu-000-1,1,down
accs-sl-148-1,2,up
accs-bk-053-1,2,up
accs-ws-1400-2,1,down
accs-rg-1,2,up
accs-sheraton-fl14,2,up
accs-inve-1278-1,2,up
accs-st-406-1,2,up
accs-sh-105av-1,2,up
accs-kr-326-1,2,up
accs-ws-2200-1,1,down
accs-ws-200-1,1,down
accs-ws-essex-sth-1,1,down
accs-ch-327a-1,2,up
accs-sm-002-1,2,up
accs-tf-r410-1,2,up
accs-bl-dc-2,2,up
accs-216mav-228c-1,2,up
accs-ni-131-1,2,up
accs-sheraton-fl26,2,up
accs-ni-cdf-1,2,up
accs-bl-elliot-222-1,2,up
accs-sm-100d1-1,2,up
accs-rp-900-1,2,up
accs-ws-2300-2,1,down
accs-768cp-001-1,2,up
accs-cn-100a-1,2,up
accs-wvh-1604-2,2,up
accs-ws-2600-1,1,down
accs-wvan-300-1,2,up
accs-ise-003-1,2,up
accs-mu-317-2,2,up
accs-ws-1000-1,1,down
accs-sw-400-1,2,up
accs-spe-400m6-1,2,up
accs-ev-900m2-1,2,up
accs-sheraton-fl17,2,up
accs-ri-cdf-1,2,up
accs-wve-015-1,2,up
accs-msc-gn-113-1,2,up
accs-ws-1900-1,1,down
accs-ise-436-1,2,up
accs-ha-011-1,2,up
accs-wvg-500-1,2,up
accs-mgt-ri-37-r7r5-1,2,up
accs-ws-newb-1,1,down
accs-sjc-130c-1,2,up
accs-wvf-400-2,2,up
accs-dvb-315-1,2,up
accs-msc-gn-124-1,2,up
accs-inve-578-1,2,up
accs-ss-106-1,2,up
accs-london-mdf-1,2,up
accs-ws-sfshire-1,1,down
accs-spw-300m5-1,2,up
accs-hs-200a-2,2,up
accs-sc-100-1,2,up
accs-wvan-600-1,2,up
accs-wvf-102av-1,2,up
accs-bl-147-308-1,2,up
accs-se-212-1,2,up
accs-sh-215av-1,2,up
accs-ev-200m2-1,2,up
accs-101bv-375-1,2,up
accs-ri-318-1,2,up
accs-wvan-1200-1,2,up
accs-ri-44-test-7,1,down
accs-mu-100m7-1,2,up
accs-wvas-500-1,2,up
accs-rb-208-1,2,up
accs-cf-5,2,up
accs-ke-000-1,2,up
accs-london-idf-b-1,2,up
accs-sheraton-fl27,2,up
accs-fr-206-3,2,up
accs-msc-100n1-1,2,up
accs-london-mdf-server-1,2,up
accs-to-46014-1,2,up
accs-cdf-ri-test-1,2,up
accs-ricdf-mgt-2,2,up
accs-ec-320-1,2,up
accs-wvg-200-1,2,up
accs-216mav-p4327-1,2,up
accs-sl-148-2,2,up
accs-sea-1xx-temp-1-backup,2,up
accs-cu-014-1,2,up
accs-fr-206-4,2,up
accs-sl-cdf-1,2,up
accs-ise-063-1,2,up
accs-ri-37-farpoint-1,2,up
accs-ws-2500-1,1,down
accs-ca-022-1,2,up
accs-sl-68-1,2,up
accs-101bv-275-1,2,up
accs-ise-375a-1,2,up
accs-sea-1xx-temp-1,2,up
accs-ri-44-test-5,2,up
accs-ws-2100-1,1,down
accs-cf-4,2,up
accs-wi-100-1,2,up
accs-mgh-mda-r6c27-1,1,down
accs-me-166a-1,2,up
accs-sl-79-1,2,up
accs-sheraton-fl16,2,up
accs-ws-1700-1,1,down
accs-101bv-118-1,2,up
accs-cp-garage-temp-1,2,up
accs-wvc-112-1,2,up
accs-msc-gn-2b-1,2,up
accs-rp-200-1,2,up
accs-ha-407-1,2,up
accs-spw-100m5-2,2,up
accs-kr-220b-1,2,up
accs-sheraton-fl24,2,up
accs-ry-411-1,2,up
accs-mgh-podc-r3c7-1,1,down
accs-sl-368-1,2,up
accs-bk-142-1,2,up
accs-ev-000m2-1,2,up
accs-sn-212-1,2,up
accs-wvh-020-1,2,up
accs-el-404a-1,2,up
accs-mu-317-1,2,up
accs-ke-010-1,2,up
accs-ev-900m2-2,2,up
accs-142hm-000-1,2,up
accs-mgh-poda-r3c9-1,1,down
accs-ws-1300-2,1,down
accs-wve-500m6-1,2,up
accs-271hu-236-1,2,up
accs-cb-cage-1,2,up
accs-ws-2400-2,1,down
accs-sw-300-1,2,up
accs-sheraton-fl6,2,up
accs-wve-800m8-1,2,up
accs-cv-214-1,2,up
accs-dg-133-1,2,up
accs-sheraton-fl11,2,up
accs-ha-011-2,2,up
accs-sheraton-fl15,2,up
accs-sb-426-1,2,up
accs-ws-1200-1,1,down
accs-ha-105a-1,2,up
accs-el-003a-1,2,up
accs-sh-335av-1,2,up
accs-spe-300m6-1,2,up
accs-ec-118-1,2,up
accs-337hu-000-2,2,up
accs-ricdf-mgt-3,2,up
accs-md-admin-1,2,up
accs-bl-vcc-130b-2,2,up
accs-wvh-102-1,2,up
accs-dg-465-1,2,up
accs-ws-200-2,1,down
accs-ws-1600-1,1,down
accs-md-h-1,2,up
accs-sl-113-1,2,up
accs-ws-2000-1,1,down
accs-sh-220av-1,2,up
accs-spw-400m5-1,2,up
accs-clt-1135-1,2,up
accs-wvh-1604-1,2,up
accs-ri-118a-1,2,up
accs-ise-336-1,2,up
accs-sheraton-fl19,2,up
accs-ri-44-test-2,2,up
accs-ev-1500m2-1,2,up
